,epoch_length,sleep_stage,parcel_key,cortex,powerallfreq,psd_raw_delta,psd_raw_theta,psd_raw_alpha,psd_raw_beta,psd_raw_gamma,psd_norm_delta,psd_norm_theta,psd_norm_alpha,psd_norm_beta,psd_norm_gamma,adr,psd_tot,spectral_entropy,pe_delta,pe_theta,pe_alpha,pe_beta,pe_gamma,komp,powerallfreq_std,psd_raw_delta_std,psd_raw_theta_std,psd_raw_alpha_std,psd_raw_beta_std,psd_raw_gamma_std,psd_norm_delta_std,psd_norm_theta_std,psd_norm_alpha_std,psd_norm_beta_std,psd_norm_gamma_std,adr_std,psd_tot_std,spectral_entropy_std,pe_delta_std,pe_theta_std,pe_alpha_std,pe_beta_std,pe_gamma_std,komp_std,n_recordings,n_subj,parcel_name,lobe
0,2,N2,front_ant_cing,healthy,1.31302507389156E-11,7.63655716997994E-10,1.88724663718347E-10,2.40016019803724E-10,2.46466308255705E-10,1.11164070234849E-11,0.582108365728167,0.206210082486728,0.162279521989496,0.135514329437568,0.0176197363755133,0.448867984433535,1.31302507389156E-09,2.48825046095509,0.903503614871245,0.910749427816199,0.908322382714214,0.847313311344569,0.790947189302649,0.616962365591398,2.1737797506992E-11,1.12081957980893E-09,2.60644696345409E-10,5.19682389359395E-10,6.03943505167329E-10,1.27559809393204E-11,0.108344019497962,0.072503440352045,0.0633671538901072,0.0664957651818489,0.0115568735779129,0.289233261918861,2.1737797506992E-09,0.231870573158183,0.0267517934699761,0.0199008106125526,0.0160087325688354,0.0279464160412145,0.0432169932147733,0.0137678980937958,31,16,Anterior cingulate,Frontal
1,2,N2,front_centr_op,healthy,1.60160877609854E-11,1.1719175886508E-09,2.50581956474417E-10,1.34658422152169E-10,1.24657144092424E-10,2.50436429091126E-11,0.599796325582747,0.20078120231089,0.125792722610312,0.143417852799838,0.0242972392741822,0.336458995956269,1.59493100957727E-09,2.56944986299982,0.904147260412584,0.908493978436765,0.909002503490573,0.868327729400713,0.810369460468482,0.62195328931279,2.00232143419534E-11,1.63005815261356E-09,2.99472763939164E-10,1.50046085442824E-10,1.3568967553478E-10,3.55296542499604E-11,0.123540495439853,0.0579683957171754,0.0571331762849887,0.0706263556696615,0.0151665289540799,0.381920414913558,2.00295486647776E-09,0.280619627526584,0.0207583138479401,0.0215341860360253,0.0196926359134922,0.0198997583519512,0.0321360769186561,0.0178076853067382,47,16,Central operculum,Frontal
2,2,N2,front_med,healthy,2.0349206730556E-11,1.69380425621398E-09,2.36645883478516E-10,9.11757881082007E-11,1.05581306546868E-10,1.70987115453985E-11,0.688388703202305,0.168510602500812,0.0832770691607137,0.111776378262603,0.0248187756405684,0.187163520920812,2.0349206730556E-09,2.35406046023097,0.893082757563941,0.8919989560542,0.896223203783039,0.870121162341439,0.822080151458423,0.610233333333333,3.80612529624048E-11,3.43105193318272E-09,3.67398420528886E-10,1.17014349951432E-10,1.26514889487607E-10,1.62296421720179E-11,0.108882174857865,0.0285763548553887,0.0370532935902241,0.072122818306563,0.0202204725043772,0.165018695106277,3.80612529624048E-09,0.282925614779426,0.0205921668496882,0.0215637458936726,0.0210863528337973,0.0235358209837372,0.0380368606228646,0.0161763041965808,15,7,Medial frontal cortex,Frontal
3,2,N2,front_med_prec,healthy,4.27658698394088E-11,3.05839484446017E-09,7.02112085717563E-10,2.79488051058257E-10,4.5647742170411E-10,8.08870997221689E-11,0.589685538335526,0.220261772758733,0.100720801480555,0.144183478586816,0.0382269678914773,0.24917241257087,4.27658698394088E-09,2.62242240758962,0.904790282629522,0.908364824415047,0.907743969831977,0.884732376579717,0.833714931434701,0.626737179487179,2.77744592193591E-11,2.06701508430892E-09,4.84694868796976E-10,2.73978759291148E-10,3.88532844230048E-10,5.45829966539433E-11,0.0914791802212379,0.060240221379349,0.0466828917947844,0.0396309573413928,0.0141841691631309,0.160782638106942,2.77744592193591E-09,0.258875921634541,0.0263477574530867,0.014235622042667,0.0128005637130509,0.0199253730858423,0.027232823042652,0.0107752634964906,13,7,Medial segment of precentral gyrus,Frontal
4,2,N2,front_med_sup,healthy,3.36835641307678E-11,2.47752703615598E-09,3.03349040205192E-10,3.38304553981852E-10,2.81265373445073E-10,2.14418507509504E-11,0.671969754218485,0.136010272807768,0.130012031482466,0.12902216253178,0.0156649483477273,0.322882387453952,3.20301579012729E-09,2.26192303487962,0.883057398358824,0.88822943662444,0.912746258970622,0.857538066309328,0.799236021960104,0.608481481481481,3.08935141404366E-11,2.46574425128065E-09,2.26916482391934E-10,3.73011096848482E-10,3.02472614925432E-10,1.37406279395925E-11,0.102837342804825,0.0455298726342619,0.0663465913153504,0.0579045058208147,0.0066668618825383,0.283656457997962,2.77097449935253E-09,0.307303383806752,0.0215067424300278,0.0187108753078441,0.025286017330273,0.017754328226669,0.0269794190085131,0.0194636739649033,18,6,Medial segment of superior frontal gyrus,Frontal
5,2,N2,front_mid_cing,healthy,9.7176679388059E-12,6.3117209953131E-10,1.69607601138428E-10,1.02840473006411E-10,1.37761534595508E-10,1.58208965019844E-11,0.542466487292604,0.208153671927405,0.133465580076451,0.182810168990323,0.0308079922909687,0.397079495593133,9.7176679388059E-10,2.71870731884398,0.914445591566876,0.912424715032265,0.916258870308819,0.87081015647166,0.81692953556533,0.629938542825362,9.02671324182029E-12,6.40715804660032E-10,1.61662495612003E-10,1.14298234092761E-10,1.51598696364915E-10,1.45256449093663E-11,0.125927656944971,0.0686390831297283,0.0514808032154949,0.08977424230506,0.0166892726480946,0.37377218104594,9.02671324182029E-10,0.309721572309419,0.0188603781719323,0.0220122242498107,0.0226348928766421,0.0212753125246452,0.0247463160585796,0.015970351530908,31,15,Middle cingulate,Frontal
6,2,N2,front_mid_front,healthy,3.25837104862075E-11,2.39725958830256E-09,4.15901517239903E-10,2.58539448942545E-10,2.92075585598259E-10,3.97578587538877E-11,0.606277032188665,0.176784555825094,0.120244332095895,0.155909806048827,0.029431514096108,0.330788950812379,3.1986331455366E-09,2.53557624712736,0.897890977510163,0.903617655507949,0.911751138621368,0.869784416556746,0.814354332081241,0.621168875718391,3.77886668897085E-11,3.02488178347536E-09,5.17504987798173E-10,3.55587544435532E-10,4.68175424614617E-10,4.7854696614094E-11,0.120243954197121,0.055079064323129,0.0587344136328846,0.0814261567259246,0.0198108362414452,0.284491327385865,3.72231913875511E-09,0.345381903722386,0.0267995461122397,0.0211165381978939,0.021486643353509,0.0269526849213192,0.042817975016477,0.02028264227758,160,41,Middle frontal gyrus,Frontal
7,2,N2,front_op_inf,healthy,6.62034560338686E-11,5.95048407734932E-09,4.14371915028348E-10,1.85907912625959E-10,2.27320247429391E-10,4.83227278013827E-11,0.629148197842681,0.151867032920604,0.102646298370528,0.161994574023488,0.0315873698550502,0.283324845377335,6.62034560338686E-09,2.5443615879769,0.895100212439252,0.889927436149537,0.908439466464394,0.878529683733134,0.823658594468892,0.6218,2.06704939833954E-10,2.03552850184241E-08,6.04957763770215E-10,1.91937120201199E-10,2.41305802730849E-10,7.94644115231507E-11,0.145487253647104,0.0467383587711421,0.0547017242169567,0.0869584975236824,0.0167277595041712,0.337966901872258,2.06704939833954E-08,0.426696353932849,0.0225266060975985,0.0329732322435023,0.0429148583903496,0.0430511669060179,0.0384134752894597,0.0372963923352655,30,13,Opercular part of inferior frontal gyrus,Frontal
8,2,N2,front_opercul,healthy,2.29464604944223E-11,1.67304082257516E-09,3.33951309503529E-10,1.9194147290674E-10,1.40138107685544E-10,2.25719678083222E-11,0.616336704773389,0.183562999713688,0.109536405169076,0.147433671627835,0.0287008712923066,0.266337827032787,2.20843211905641E-09,2.53478310373026,0.898771078950165,0.9051246276043,0.908630257610154,0.869402080408926,0.815506185176008,0.620226666666667,2.9778529331783E-11,2.13266568383652E-09,4.53014781448378E-10,3.105786569479E-10,1.37243845190285E-10,2.23146067221959E-11,0.112280258672768,0.0456505820293692,0.0475127144844985,0.0908526805148469,0.0200415721080866,0.215524842019909,2.74407362031977E-09,0.312376288614328,0.0175233104743863,0.0147754171013259,0.0210426164162491,0.0310064572039773,0.0377032098874652,0.017585810120452,25,16,Frontal operculum,Frontal
9,2,N2,front_orb_inf,healthy,7.61034162711924E-12,5.07319495872604E-10,1.40485407684246E-10,7.48496817602629E-11,9.43882432384055E-11,1.09866976246987E-11,0.608010788267154,0.205572275740223,0.114877026161435,0.141941667959983,0.0233212666265173,0.248769797073637,7.61034162711924E-10,2.59168814435782,0.909194940701065,0.905878510488861,0.912606250915611,0.86959012686748,0.81376643533821,0.624975490196078,1.39525024197009E-11,9.8764560501779E-10,2.40877353814134E-10,1.36174588970796E-10,1.61832275433518E-10,1.82034292440578E-11,0.0977495778377875,0.0512301347850291,0.040269416284102,0.0465781726345643,0.0094523010262044,0.132951995939749,1.39525024197009E-09,0.239249657665281,0.018070550806957,0.016164526482453,0.0106129079348872,0.0177160522715418,0.0209036840162404,0.0130033971491415,17,9,Orbital part of inferior frontal gyrus,Frontal
