,sleep_stage,parcel_key,cortex,epoch_length,powerallfreq,psd_raw_delta,psd_raw_theta,psd_raw_alpha,psd_raw_beta,psd_raw_gamma,psd_norm_delta,psd_norm_theta,psd_norm_alpha,psd_norm_beta,psd_norm_gamma,adr,psd_tot,spectral_entropy,pe_delta,pe_theta,pe_alpha,pe_beta,pe_gamma,komp,powerallfreq_std,psd_raw_delta_std,psd_raw_theta_std,psd_raw_alpha_std,psd_raw_beta_std,psd_raw_gamma_std,psd_norm_delta_std,psd_norm_theta_std,psd_norm_alpha_std,psd_norm_beta_std,psd_norm_gamma_std,adr_std,psd_tot_std,spectral_entropy_std,pe_delta_std,pe_theta_std,pe_alpha_std,pe_beta_std,pe_gamma_std,komp_std,n_recordings,n_patients,parcel_name,lobe
22,N2,front_op_inf,healthy,5,1.6388465336479302e-09,7.2429434936233e-08,2.44923820189751e-09,2.95460653733313e-10,1.19272231576697e-10,1.76352435089724e-11,0.980653390659978,0.031232279351324,0.0040392784232365,0.0024064777009904,0.0014989291148318,0.0041217277505346,7.37480940141568e-08,0.998392297492034,0.840701601105343,0.749724480718976,0.701759637632744,0.672396365535297,0.643417746865619,0.345461538461538,,,,,,,,,,,,,,,,,,,,,1,1,Opercular part of inferior frontal gyrus,Frontal
23,N2,front_op_inf,healthy,10,1.64645850538162e-10,6.02384914889884e-09,6.5755946963525e-10,3.4922652679836005e-10,6.60046422361835e-10,1.30754157500541e-10,0.796436511661061,0.0922848163063148,0.0503935487219205,0.0988941524670845,0.0205618703923608,0.0652383378723677,7.40906327421731e-09,1.98938505482707,0.879103672880673,0.867018131049973,0.915329282079604,0.907159014485456,0.820996974787165,0.527333333333333,,,,,,,,,,,,,,,,,,,,,1,1,Opercular part of inferior frontal gyrus,Frontal
24,N2,front_opercul,healthy,2,8.830740396038229e-12,6.12226505561704e-10,2.22322605238085e-10,8.048970848147739e-11,5.0064482807831794e-11,4.30598510767139e-12,0.645331107840828,0.273984253762079,0.109445825079236,0.0721617065602949,0.0063043770202601,0.209111237277663,8.83074039603823e-10,2.42820205258166,0.914068799069268,0.913903942934441,0.883765354709539,0.821301830377775,0.750511454865092,0.604833333333333,,,,,,,,,,,,,,,,,,,,,1,1,Frontal operculum,Frontal
25,N2,front_opercul,healthy,5,7.351325640705239e-11,2.5233337962977404e-09,4.86165852014971e-10,1.52945570871755e-10,3.20918351545452e-10,3.14504672134798e-11,0.695240900070322,0.162681638400542,0.0547582777094595,0.133041378022225,0.0216950662836357,0.0878517719540656,3.30809653831735e-09,2.19880195505108,0.848595524271934,0.867658765152173,0.853063660929788,0.850576819439647,0.741071897832222,0.517,,,,,,,,,,,,,,,,,,,,,1,1,Frontal operculum,Frontal
26,N2,front_opercul,healthy,10,4.39105115089944e-12,1.44573518277396e-10,3.0588921236887595e-11,1.9408844982462598e-11,1.62950654737757e-11,2.28063823485097e-12,0.713934311039693,0.164338137886545,0.106285442497304,0.0879874900882153,0.0121725801343063,0.156617071194569,1.97597301790475e-10,2.19682757839597,0.891950557572934,0.908451322844392,0.925998377859368,0.881199429401529,0.792664397255138,0.516333333333333,,,,,,,,,,,,,,,,,,,,,1,1,Frontal operculum,Frontal
27,N2,front_orb_inf,healthy,2,3.64767658819751e-12,2.97701934933017e-10,4.0527580111410495e-11,1.5909905544694598e-11,2.4441607410192696e-11,3.71309598817728e-12,0.654584417604381,0.17328512284468,0.0827516199082794,0.138475555151567,0.0274971169484108,0.155558004830317,3.64767658819751e-10,2.49044813767517,0.902405003072209,0.9089233798775,0.917207857659555,0.883180083957089,0.824359190726057,0.615333333333333,,,,,,,,,,,,,,,,,,,,,1,1,Orbital part of inferior frontal gyrus,Frontal
28,N2,front_orb_inf,healthy,5,1.5789495456819399e-12,3.8966639064238795e-11,2.2767744649379696e-11,1.3498430244333099e-11,5.93471710349075e-12,7.35018928639856e-13,0.580261837280563,0.290392237950181,0.174370270057884,0.0841820124028391,0.0116382800627467,0.33976851682598,7.10527295556872e-11,2.41201840898384,0.879972985536335,0.867913897950849,0.838411433069596,0.79467923503929,0.72154905798497,0.524,,,,,,,,,,,,,,,,,,,,,1,1,Orbital part of inferior frontal gyrus,Frontal
29,N2,front_orb_inf,healthy,10,5.17266447790868e-12,1.62402433586589e-10,3.8758330506932594e-11,2.7188699575439897e-11,2.3731009553659597e-11,3.48393989439072e-12,0.677883153804353,0.168968591083457,0.12074750058474,0.112764830456121,0.0178430904154487,0.184827364966193,2.32769901505891e-10,2.41345927004667,0.921792951626677,0.900109122047015,0.918733326054939,0.885168709022977,0.799226447270129,0.539666666666667,,,,,,,,,,,,,,,,,,,,,1,1,Orbital part of inferior frontal gyrus,Frontal
30,N2,front_precentr,healthy,2,4.4957526765872195e-11,2.9520853474468604e-09,8.05658966698518e-10,4.01972479159771e-10,5.41447523029557e-10,9.716346196222819e-11,0.617155069608343,0.199804665879603,0.0963212397659216,0.133680267460671,0.0242372158567821,0.19574859636511,4.49575267658722e-09,2.58104201063346,0.894668664383113,0.901246934072506,0.903328241029741,0.878796358182234,0.816300659606184,0.6185,,,,,,,,,,,,,,,,,,,,,1,1,Precentral gyrus,Frontal
31,N2,front_precentr,healthy,5,1.81385081715186e-10,6.678483605147731e-09,1.4276931680239901e-09,4.73665809684838e-10,2.15673938496263e-10,3.04331275787377e-11,0.779340902132394,0.192362636963116,0.0644474901126878,0.0385578053992876,0.0154788371251443,0.086548079866109,8.16232867718336e-09,1.9921586819554,0.904108515314534,0.892797963874073,0.8504497470377,0.80039555522223,0.736947780250315,0.486307692307692,,,,,,,,,,,,,,,,,,,,,1,1,Precentral gyrus,Frontal
32,N2,front_precentr,healthy,10,7.896406468778819e-11,2.3126156996719903e-09,7.33450970115451e-10,4.0931281681580303e-10,4.04758828874277e-10,6.39501687362687e-11,0.644078192508588,0.209352526871601,0.116349540967457,0.116863910158402,0.0183550882906187,0.186784745470267,3.55338291095047e-09,2.4911163376335,0.908201091981428,0.906940450691422,0.906362934878595,0.881484254765626,0.788472955600236,0.52,,,,,,,,,,,,,,,,,,,,,1,1,Precentral gyrus,Frontal
